matrix_row,study_id,es_id,ex_id,con_id,out_id,ex_n,c_n,effect_size,sampling_variance
122,whitlow_1978_thesis,es122,ex021,con018,out059,20,20,-0.04162437201729375,0.01327542527197283
123,whitlow_1978_thesis,es123,ex022,con018,out059,20,20,-0.22259653960764156,0.01471872588654491
124,whitlow_1978_thesis,es124,ex021,con018,out060,20,20,-0.00299137017629005,0.0209971252522247
125,whitlow_1978_thesis,es125,ex022,con018,out060,20,20,-0.1628951859972784,0.02292045121903956
126,whitlow_1978_thesis,es126,ex021,con018,out060,20,20,0.25751909615366875,0.02923088245129616
127,whitlow_1978_thesis,es127,ex022,con018,out060,20,20,0.17902043472123896,0.0301528020154218
128,whitlow_1978_thesis,es128,ex021,con018,out060,20,20,-0.07483195436684123,0.01873806361630443
129,whitlow_1978_thesis,es129,ex022,con018,out060,20,20,0.03004240600946542,0.01775100777676556
130,abramova_2020_genpath,es130,ex023,con019,out061,19,8,-0.09000564565308171,0.02505048659484778
131,abramova_2020_genpath,es131,ex024,con020,out061,16,8,0.09486489249652712,0.01506943455342674
132,abramova_2020_genpath,es132,ex023,con019,out062,19,8,0.00125132892060464,0.02174369118812252
133,abramova_2020_genpath,es133,ex024,con020,out062,16,8,-0.0020354126919983,0.01285447197137099
134,abramova_2020_genpath,es134,ex023,con019,out063,19,8,0.16164584932221138,0.35083380984825646
135,abramova_2020_genpath,es135,ex024,con020,out063,16,8,0.7988723376353446,0.09015593934214876
136,abramova_2020_genpath,es136,ex023,con019,out064,19,8,0.9386364133481812,0.11620159473144272
137,abramova_2020_genpath,es137,ex024,con020,out064,16,8,0.1675831338406774,0.15071275447266796
138,abramova_2020_genpath,es138,ex023,con019,out065,19,8,1.1319492786435474,0.4279680884546835
139,abramova_2020_genpath,es139,ex024,con020,out065,16,8,0.9811620465187576,0.8915353961152244
140,abramova_2020_genpath,es140,ex023,con019,out066,19,8,-0.12689167231612247,0.09408443362531446
141,abramova_2020_genpath,es141,ex024,con020,out066,16,8,0.02433236829094723,0.06238193239458622
142,abramova_2020_genpath,es142,ex023,con019,out067,19,20,-0.10593842313922792,0.00145691867804029
143,abramova_2020_genpath,es143,ex024,con020,out067,16,18,-0.10851046607493844,0.00246981151812005
144,abramova_2020_genpath,es144,ex023,con019,out068,19,20,-1.0017145727890713,0.09779450996594
