study_id,es_id,n_raw,n_final,mean_raw,median_raw,q1_raw,q3_raw,mean_pre_zero_correction,mean_analysis_primary,mean_analysis_sensitivity_08,mean_source,exact_zero_before_correction,zero_correction_applied,zero_correction_reference_mean,zero_correction_primary_09,zero_correction_sensitivity_08,zero_correction_unavailable,zero_mean_exclusion_sensitivity,sd_raw,sd_final,sd_source,se_raw,se_final,se_source,ci_raw,iqr_all_zero,iqr_skewness_review,sd_assumed_sqrt_mean,se_inconsistent_with_sd,se_matches_mean_over_sqrt_n,arm
nishio_2006_intjdevlneur,es062,5,5,3.97,,,,3.97,3.97,3.97,raw_mean,FALSE,FALSE,3.58,3.222,2.8640000000000003,FALSE,FALSE,1.71,1.71,raw_sd,0.76,0.76,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
nishio_2006_intjdevlneur,es063,5,5,6.68,,,,6.68,6.68,6.68,raw_mean,FALSE,FALSE,3.58,3.222,2.8640000000000003,FALSE,FALSE,2.41,2.41,raw_sd,1.08,1.08,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
uygur_2011_ankarauniv,es064,9,9,45.87,,,,45.87,45.87,45.87,raw_mean,FALSE,FALSE,26.79,24.111,21.432000000000002,FALSE,FALSE,,24.869999999999997,se_times_sqrt_n,8.29,8.29,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
uygur_2011_ankarauniv,es065,9,9,79.05,,,,79.05,79.05,79.05,raw_mean,FALSE,FALSE,26.79,24.111,21.432000000000002,FALSE,FALSE,,40.56,se_times_sqrt_n,13.52,13.52,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
uygur_2011_ankarauniv,es066,9,9,20.09,,,,20.09,20.09,20.09,raw_mean,FALSE,FALSE,20.09,18.081,16.072,FALSE,FALSE,,18.84,se_times_sqrt_n,6.28,6.28,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
uygur_2011_ankarauniv,es067,9,9,31.89,,,,31.89,31.89,31.89,raw_mean,FALSE,FALSE,20.09,18.081,16.072,FALSE,FALSE,,39.45,se_times_sqrt_n,13.15,13.15,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
uygur_2011_ankarauniv,es068,9,9,5.44,,,,5.44,5.44,5.44,raw_mean,FALSE,FALSE,1.7,1.53,1.36,FALSE,FALSE,,4.47,se_times_sqrt_n,1.49,1.49,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
uygur_2011_ankarauniv,es069,9,9,2.56,,,,2.56,2.56,2.56,raw_mean,FALSE,FALSE,1.7,1.53,1.36,FALSE,FALSE,,2.8499999999999996,se_times_sqrt_n,0.95,0.95,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
uygur_2011_ankarauniv,es070,9,9,26.78,,,,26.78,26.78,26.78,raw_mean,FALSE,FALSE,16,14.4,12.8,FALSE,FALSE,,14.669999999999998,se_times_sqrt_n,4.89,4.89,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
uygur_2011_ankarauniv,es071,9,9,16,,,,16,16,16,raw_mean,FALSE,FALSE,16,14.4,12.8,FALSE,FALSE,,11.790000000000001,se_times_sqrt_n,3.93,3.93,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
morra_1965_physiolrec,es072,63,63,19.5,,,,19.5,19.5,19.5,raw_mean,FALSE,FALSE,6.4,5.760000000000001,5.120000000000001,FALSE,FALSE,8.4,8.4,raw_sd,,1.0583005244258363,sd_div_sqrt_n,,FALSE,FALSE,FALSE,FALSE,FALSE,control
morra_1965_physiolrec,es073,63,63,13.1,,,,13.1,13.1,13.1,raw_mean,FALSE,FALSE,13.1,11.79,10.48,FALSE,FALSE,7.9,7.9,raw_sd,,0.995306445590965,sd_div_sqrt_n,,FALSE,FALSE,FALSE,FALSE,FALSE,control
abramova_2021_front,es074,25,25,29,,,,29,29,29,raw_mean,FALSE,FALSE,6.4,5.760000000000001,5.120000000000001,FALSE,FALSE,15.7903,15.7903,raw_sd,3.1581,3.1581,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
