study_id,es_id,arm,se_recalculated,se_analysis_column,abs_diff
abramova_2020_genpath,es131,experimental,4.86045,4.86045,0
abramova_2020_genpath,es132,experimental,2.536649769406801,2.53665,2.3059319875784468e-7
abramova_2020_genpath,es133,experimental,2.22715,2.22715,0
abramova_2020_genpath,es134,experimental,0.32680271289861523,0.326803,2.871013847771664e-7
abramova_2020_genpath,es135,experimental,0.232725,0.232725,0
abramova_2020_genpath,es136,experimental,4.581982803156407,4.581983,1.9684359298111076e-7
abramova_2020_genpath,es137,experimental,3.074025,3.074025,0
abramova_2020_genpath,es138,experimental,10.044119069307225,10.044119,6.930722484810303e-8
abramova_2020_genpath,es139,experimental,7.162475,7.162475,0
abramova_2020_genpath,es140,experimental,0.4990021627418589,0.499002,1.627418588778795e-7
abramova_2020_genpath,es141,experimental,0.341575,0.341575,0
abramova_2020_genpath,es142,experimental,9.054465476536397,9.054465,4.765363961212188e-7
abramova_2020_genpath,es143,experimental,10.968425,10.968425,0
abramova_2020_genpath,es144,experimental,8.912044188949551,8.912044,1.889495511164796e-7
abramova_2020_genpath,es145,experimental,10.4604,10.4604,0
abramova_2020_genpath,es146,experimental,0.7197230402987262,0.719723,4.0298726244891725e-8
abramova_2020_genpath,es147,experimental,0.809925,0.809925,0
abramova_2020_genpath,es148,experimental,0.5042098999007206,0.50421,1.0009927942089547e-7
abramova_2020_genpath,es149,experimental,0.478725,0.478725,0
abramova_2020_genpath,es150,experimental,1.2422632573357049,1.242263,2.5733570496733194e-7
abramova_2020_genpath,es151,experimental,1.714825,1.714825,0
abramova_2020_genpath,es152,experimental,4.7626935767262495,4.762694,4.2327375027184644e-7
abramova_2020_genpath,es153,experimental,5.518025,5.518025,0
abramova_2020_genpath,es154,experimental,1.2314577762704013,1.231458,2.237295986251553e-7
abramova_2020_genpath,es155,experimental,1.6695,1.6695,0
abramova_2020_genpath,es156,experimental,2.5889106735825154,2.588911,3.264174845973855e-7
abramova_2020_genpath,es157,experimental,4.602875,4.602875,0
abramova_2020_genpath,es158,experimental,0.578678247115105,0.578678,2.4711510493435895e-7
abramova_2020_genpath,es159,experimental,0.4652,0.4652,0
abramova_2020_genpath,es160,experimental,16.378815137661338,16.378815,1.376613383285985e-7
abramova_2020_genpath,es161,experimental,18.9553,18.9553,0
abramova_2020_genpath,es162,experimental,6.638279844243422,6.63828,1.557565783016912e-7
abramova_2020_genpath,es163,experimental,8.4909,8.4909,0
abramova_2023_biopsy,es164,experimental,3.3,3.3,0
abramova_2023_biopsy,es165,experimental,5.1,5.1,0
abramova_2023_biopsy,es166,experimental,1.2,1.2,0
abramova_2023_biopsy,es167,experimental,1.7,1.7,0
abramova_2023_biopsy,es170,experimental,19.4,19.4,0
abramova_2023_biopsy,es171,experimental,20.1,20.1,0
abramova_2023_biopsy,es174,experimental,0.5,0.5,0
abramova_2023_biopsy,es175,experimental,0.6,0.6,0
abramova_2023_biopsy,es178,experimental,13,13,0
abramova_2023_biopsy,es179,experimental,11,11,0
abramova_2023_biopsy,es182,experimental,0.8,0.8,0
abramova_2023_biopsy,es183,experimental,0.7,0.7,0
abramova_2023_biopsy,es186,experimental,2.3,2.3,0
abramova_2023_biopsy,es187,experimental,1.7,1.7,0
abramova_2023_biopsy,es188,experimental,1.3,1.3,0
abramova_2023_biopsy,es189,experimental,1.4,1.4,0
abramova_2023_biopsy,es192,experimental,6.6,6.6,0
abramova_2023_biopsy,es193,experimental,10.1,10.1,0
abramova_2023_biopsy,es196,experimental,4.8,4.8,0
abramova_2023_biopsy,es197,experimental,2.9,2.9,0
abramova_2023_biopsy,es198,experimental,4.4,4.4,0
abramova_2023_biopsy,es199,experimental,4,4,0
abramova_2023_biopsy,es202,experimental,11,11,0
