es_id,study_id,arm,mean_reported,mean_pre_zero,mean_analysis,mean_derivation,sd_reported,se_reported,sd_analysis,sd_derivation,se_analysis,se_derivation,se_source,exact_zero,zero_correction_reference_mean,zero_correction_primary_09,zero_correction_sensitivity_08,zero_mean_exclusion_sensitivity,analysis_ready
es048,oliveira_2015_jbehavbraisci,control,56.48,56.48,56.48,Reported mean; used unchanged,118.46,34.2,118.46,Reported or previously approved SD; used unchanged,34.2,Reported SEM; used unchanged for analysis,oliveira_2015_jbehavbraisci_fig2b; Figure 2. b,FALSE,,,,FALSE,TRUE
es049,oliveira_2015_jbehavbraisci,control,103.11,103.11,103.11,Reported mean; used unchanged,129.23,37.31,129.23,Reported or previously approved SD; used unchanged,37.31,Reported SEM; used unchanged for analysis,oliveira_2015_jbehavbraisci_fig2b; Figure 2. b,FALSE,,,,FALSE,TRUE
es050,oliveira_2015_jbehavbraisci,control,5.34,5.34,5.34,Reported mean; used unchanged,3.86,1.11,3.86,Reported or previously approved SD; used unchanged,1.11,Reported SEM; used unchanged for analysis,oliveira_2015_jbehavbraisci_fig3b; Figure 3. b,FALSE,,,,FALSE,TRUE
es051,oliveira_2015_jbehavbraisci,control,6.8,6.8,6.8,Reported mean; used unchanged,8.02,2.31,8.02,Reported or previously approved SD; used unchanged,2.31,Reported SEM; used unchanged for analysis,oliveira_2015_jbehavbraisci_fig3b; Figure 3. b,FALSE,,,,FALSE,TRUE
es052,oliveira_2015_jbehavbraisci,control,6.46,6.46,6.46,Reported mean; used unchanged,7.72,2.23,7.72,Reported or previously approved SD; used unchanged,2.23,Reported SEM; used unchanged for analysis,oliveira_2015_jbehavbraisci_fig3b; Figure 3. b,FALSE,,,,FALSE,TRUE
es053,pavlov_2023_molsci,control,71.6,71.6,71.6,Reported mean; used unchanged,9.72,,9.72,Reported or previously approved SD; used unchanged,3.073734,SD / sqrt(n); derived for analysis from the extracted SD and sample size,pavlov_2023_molsci_Fig4A; Figure 4A,FALSE,,,,FALSE,TRUE
es054,pavlov_2023_molsci,control,10.55,10.55,10.55,Reported mean; used unchanged,6.17,,6.17,Reported or previously approved SD; used unchanged,1.951125,SD / sqrt(n); derived for analysis from the extracted SD and sample size,pavlov_2023_molsci_Fig4C; Figure 4C,FALSE,,,,FALSE,TRUE
es055,pavlov_2023_molsci,control,71.66,71.66,71.66,Reported mean; used unchanged,17.5,,17.5,Reported or previously approved SD; used unchanged,5.533986,SD / sqrt(n); derived for analysis from the extracted SD and sample size,pavlov_2023_molsci_Fig4D; Figure 4D,FALSE,,,,FALSE,TRUE
es056,pavlov_2023_molsci,control,69.17,69.17,69.17,Reported mean; used unchanged,20.84,,20.84,Reported or previously approved SD; used unchanged,6.590187,SD / sqrt(n); derived for analysis from the extracted SD and sample size,pavlov_2023_molsci_Fig4E; Figure 4E,FALSE,,,,FALSE,TRUE
es057,pavlov_2023_molsci,control,13.27,13.27,13.27,Reported mean; used unchanged,5.44,,5.44,Reported or previously approved SD; used unchanged,1.720279,SD / sqrt(n); derived for analysis from the extracted SD and sample size,pavlov_2023_molsci_Fig4F; Figure 4F,FALSE,,,,FALSE,TRUE
es058,nishio_2006_intjdevlneur,control,27.16,27.16,27.16,Reported mean; used unchanged,13.81,6.17,13.81,Reported or previously approved SD; used unchanged,6.17,Reported SEM; used unchanged for analysis,nishio_2006_intjdevlneur_fig2a; Fig. 2a,FALSE,,,,FALSE,TRUE
es059,nishio_2006_intjdevlneur,control,18.69,18.69,18.69,Reported mean; used unchanged,6.84,3.06,6.84,Reported or previously approved SD; used unchanged,3.06,Reported SEM; used unchanged for analysis,nishio_2006_intjdevlneur_fig2a; Fig. 2a,FALSE,,,,FALSE,TRUE
es060,nishio_2006_intjdevlneur,control,39.61,39.61,39.61,Reported mean; used unchanged,9.64,4.31,9.64,Reported or previously approved SD; used unchanged,4.31,Reported SEM; used unchanged for analysis,nishio_2006_intjdevlneur_fig2b; Fig. 2b,FALSE,,,,FALSE,TRUE
es061,nishio_2006_intjdevlneur,control,33.07,33.07,33.07,Reported mean; used unchanged,7.6,3.4,7.6,Reported or previously approved SD; used unchanged,3.4,Reported SEM; used unchanged for analysis,nishio_2006_intjdevlneur_fig2b; Fig. 2b,FALSE,,,,FALSE,TRUE
es062,nishio_2006_intjdevlneur,control,3.97,3.97,3.97,Reported mean; used unchanged,1.71,0.76,1.71,Reported or previously approved SD; used unchanged,0.76,Reported SEM; used unchanged for analysis,nishio_2006_intjdevlneur_fig2c; Fig. 2c,FALSE,,,,FALSE,TRUE
es063,nishio_2006_intjdevlneur,control,6.68,6.68,6.68,Reported mean; used unchanged,2.41,1.08,2.41,Reported or previously approved SD; used unchanged,1.08,Reported SEM; used unchanged for analysis,nishio_2006_intjdevlneur_fig2c; Fig. 2c,FALSE,,,,FALSE,TRUE
es064,uygur_2011_ankarauniv,control,45.87,45.87,45.87,Reported mean; used unchanged,,8.29,24.869999999999997,SD = reported SE * sqrt(n),8.29,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.,FALSE,,,,FALSE,TRUE
es065,uygur_2011_ankarauniv,control,79.05,79.05,79.05,Reported mean; used unchanged,,13.52,40.56,SD = reported SE * sqrt(n),13.52,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.,FALSE,,,,FALSE,TRUE
es066,uygur_2011_ankarauniv,control,20.09,20.09,20.09,Reported mean; used unchanged,,6.28,18.84,SD = reported SE * sqrt(n),6.28,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.,FALSE,,,,FALSE,TRUE
es067,uygur_2011_ankarauniv,control,31.89,31.89,31.89,Reported mean; used unchanged,,13.15,39.45,SD = reported SE * sqrt(n),13.15,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.,FALSE,,,,FALSE,TRUE
es068,uygur_2011_ankarauniv,control,5.44,5.44,5.44,Reported mean; used unchanged,,1.49,4.47,SD = reported SE * sqrt(n),1.49,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.,FALSE,,,,FALSE,TRUE
es069,uygur_2011_ankarauniv,control,2.56,2.56,2.56,Reported mean; used unchanged,,0.95,2.8499999999999996,SD = reported SE * sqrt(n),0.95,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.,FALSE,,,,FALSE,TRUE
es070,uygur_2011_ankarauniv,control,26.78,26.78,26.78,Reported mean; used unchanged,,4.89,14.669999999999998,SD = reported SE * sqrt(n),4.89,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.,FALSE,,,,FALSE,TRUE
es071,uygur_2011_ankarauniv,control,16,16,16,Reported mean; used unchanged,,3.93,11.790000000000001,SD = reported SE * sqrt(n),3.93,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.,FALSE,,,,FALSE,TRUE
es072,morra_1965_physiolrec,control,19.5,19.5,19.5,Reported mean; used unchanged,8.4,,8.4,Reported or previously approved SD; used unchanged,1.058301,SD / sqrt(n); derived for analysis from the extracted SD and sample size,Table 2 and text,FALSE,,,,FALSE,TRUE
es073,morra_1965_physiolrec,control,13.1,13.1,13.1,Reported mean; used unchanged,7.9,,7.9,Reported or previously approved SD; used unchanged,0.995306,SD / sqrt(n); derived for analysis from the extracted SD and sample size,Table 2 and text,FALSE,,,,FALSE,TRUE
es074,abramova_2021_front,control,33.73913,33.73913,33.73913,Reported mean; used unchanged,16.895985,,16.895985,Reported or previously approved SD; used unchanged,3.523056,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",FALSE,,,,FALSE,TRUE
es075,abramova_2021_front,control,29,29,29,Reported mean; used unchanged,15.790292,,15.790292,Reported or previously approved SD; used unchanged,3.158058,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",FALSE,,,,FALSE,TRUE
