filename,variable,group_id,mean,sd,n,r,se,error_type,plot_type
oliveira_2015_jbehavbraisci_fig2b.png,Avoidance latency,C_A1,56.47668394,118.461506,12,NA,34.19689119,se,mean_error
oliveira_2015_jbehavbraisci_fig2b.png,Avoidance latency,C_A2,103.1088083,129.2307338,12,NA,37.30569948,se,mean_error
oliveira_2015_jbehavbraisci_fig2b.png,Avoidance latency,C_BL,9.32642487,25.12819824,12,NA,7.25388601,se,mean_error
oliveira_2015_jbehavbraisci_fig2b.png,Avoidance latency,IE_BL,6.21761658,14.35897043,12,NA,4.14507772,se,mean_error
oliveira_2015_jbehavbraisci_fig2b.png,Avoidance latency,IE_A1,86.52849741,131.0256051,12,NA,37.8238342,se,mean_error
oliveira_2015_jbehavbraisci_fig2b.png,Avoidance latency,IE_A2,136.2694301,147.1794469,12,NA,42.48704663,se,mean_error
oliveira_2015_jbehavbraisci_fig3b.png,Escape latency (time in open arms),C_F1,5.342857143,3.859998943,12,NA,1.114285714,se,mean_error
oliveira_2015_jbehavbraisci_fig3b.png,Escape latency (time in open arms),C_F2,6.8,8.016920881,12,NA,2.314285714,se,mean_error
oliveira_2015_jbehavbraisci_fig3b.png,Escape latency (time in open arms),C_F3,6.457142857,7.719997885,12,NA,2.228571429,se,mean_error
oliveira_2015_jbehavbraisci_fig3b.png,Escape latency (time in open arms),IE_F1,6.542857143,8.214869544,12,NA,2.371428571,se,mean_error
oliveira_2015_jbehavbraisci_fig3b.png,Escape latency (time in open arms),IE_F2,6.6,4.057947606,12,NA,1.171428571,se,mean_error
oliveira_2015_jbehavbraisci_fig3b.png,Escape latency (time in open arms),IE_F3,13.2,15.43999577,12,NA,4.457142857,se,mean_error
pavlov_2023_molsci_Fig4A.png,Sucrose preference %,NonSt_su,71.59887798,9.720233788,10,NA,3.073807816,sd,boxplot
pavlov_2023_molsci_Fig4A.png,Sucrose preference %,US_su,40.48036466,13.49358108,14,NA,3.606311237,sd,boxplot
pavlov_2023_molsci_Fig4C.png,Squared crossed,NonSt_sq,10.55444887,6.171788926,10,NA,1.951691024,sd,boxplot
pavlov_2023_molsci_Fig4C.png,Squared crossed,Us_sq,6.397742364,3.170188603,14,NA,0.847268543,sd,boxplot
pavlov_2023_molsci_Fig4D.png,Time in center,NonSt_csq,71.65678524,17.50034586,10,NA,5.534095276,sd,boxplot
pavlov_2023_molsci_Fig4D.png,Time in center,US_csq,25.98814229,11.14510851,14,NA,2.978655543,sd,boxplot
pavlov_2023_molsci_Fig4E.png,Time in open arms,NonSt_oat,69.16996047,20.83938418,10,NA,6.589991903,sd,boxplot
pavlov_2023_molsci_Fig4E.png,Time in open arms,US_oat,25.41996047,9.555003808,14,NA,2.553682184,sd,boxplot
pavlov_2023_molsci_Fig4F.png,Open arms entries,NonSt_oae,13.27165757,5.437726115,10,NA,1.719559982,sd,boxplot
pavlov_2023_molsci_Fig4F.png,Open arms entries,US_oae,8.684345157,4.225052553,14,NA,1.129192792,sd,boxplot
whitlow_1978_thesis_fig2.png,Amount of ambulation,HN_1,71.22853369,3.308317219,20,NA,0.739762219,se,mean_error
whitlow_1978_thesis_fig2.png,Amount of ambulation,HNoN_1,65.62747688,2.363083728,20,NA,0.528401585,se,mean_error
whitlow_1978_thesis_fig2.png,Amount of ambulation,HLN_1,60.87186262,3.308317219,20,NA,0.739762219,se,mean_error
whitlow_1978_thesis_fig2.png,Amount of ambulation,HN_2,42.8005284,3.308317219,20,NA,0.739762219,se,mean_error
whitlow_1978_thesis_fig2.png,Amount of ambulation,HNoN_2,39.73579921,3.780933965,20,NA,0.845442536,se,mean_error
whitlow_1978_thesis_fig2.png,Amount of ambulation,HLN_2,36.88243065,2.363083728,20,NA,0.528401585,se,mean_error
whitlow_1978_thesis_fig2.png,Amount of ambulation,HN_3,26.73712021,3.780933965,20,NA,0.845442536,se,mean_error
whitlow_1978_thesis_fig2.png,Amount of ambulation,HNoN_3,17.33157199,2.835700473,20,NA,0.634081902,se,mean_error
whitlow_1978_thesis_fig2.png,Amount of ambulation,HLN_3,15.74636724,3.308317219,20,NA,0.739762219,se,mean_error
whitlow_1978_thesis_fig2.png,Amount of ambulation,C_1_sq,45.76710807,3.404835474,20,NA,0.761344357,se,mean_error
whitlow_1978_thesis_fig2.png,Amount of ambulation,C_2_sq,31.7366192,2.918430407,20,NA,0.652580878,se,mean_error
whitlow_1978_thesis_fig2.png,Amount of ambulation,C_3_sq,19.12005556,2.918430407,20,NA,0.652580878,se,mean_error
whitlow_1978_thesis_fig4.png,Grooming frequency,HN_1_gr,3.680878553,0.323565392,20,NA,0.072351421,se,mean_error
whitlow_1978_thesis_fig4.png,Grooming frequency,HNoN_1_gr,4.476744186,0.323565392,20,NA,0.072351421,se,mean_error
whitlow_1978_thesis_fig4.png,Grooming frequency,HLN_1_gr,3.708010336,0.323565392,20,NA,0.072351421,se,mean_error
whitlow_1978_thesis_fig4.png,Grooming frequency,HN_2_gr,5.670542636,0.323565392,20,NA,0.072351421,se,mean_error
whitlow_1978_thesis_fig4.png,Grooming frequency,HNoN_2_gr,6.394056848,0.364011066,20,NA,0.081395349,se,mean_error
whitlow_1978_thesis_fig4.png,Grooming frequency,HLN_2_gr,4.802325581,0.283119718,20,NA,0.063307494,se,mean_error
whitlow_1978_thesis_fig4.png,Grooming frequency,HN_3_gr,3.689922481,0.242674044,20,NA,0.054263566,se,mean_error
whitlow_1978_thesis_fig4.png,Grooming frequency,HNoN_3_gr,3.843669251,0.283119718,20,NA,0.063307494,se,mean_error
whitlow_1978_thesis_fig4.png,Grooming frequency,HLN_3_gr,3.074935401,0.364011066,20,NA,0.081395349,se,mean_error
whitlow_1978_thesis_fig4.png,Grooming frequency,C_1_gr,4.052587909,0.333005227,20,NA,0.074462232,se,mean_error
whitlow_1978_thesis_fig4.png,Grooming frequency,C_2_gr,3.512736724,0.208128267,20,NA,0.046538895,se,mean_error
whitlow_1978_thesis_fig4.png,Grooming frequency,C_3_gr,3.84781677,0.24975392,20,NA,0.055846674,se,mean_error
whitlow_1978_thesis_fig5.png,Amount of defecation,HN_1_def,2.377659574,0.142727743,20,NA,0.031914894,se,mean_error
whitlow_1978_thesis_fig5.png,Amount of defecation,HNoN_1_de,1.73537234,0.178409679,20,NA,0.039893617,se,mean_error
whitlow_1978_thesis_fig5.png,Amount of defecation,HLN_1_de,2.022606383,0.160568711,20,NA,0.035904255,se,mean_error
whitlow_1978_thesis_fig5.png,Amount of defecation,HN_2_de,1.982712766,0.142727743,20,NA,0.031914894,se,mean_error
whitlow_1978_thesis_fig5.png,Amount of defecation,HNoN_2_de,2.218085106,0.160568711,20,NA,0.035904255,se,mean_error
whitlow_1978_thesis_fig5.png,Amount of defecation,HLN_2_de,1.831117021,0.124886775,20,NA,0.027925532,se,mean_error
whitlow_1978_thesis_fig5.png,Amount of defecation,HN_3_de,2.573138298,0.160568711,20,NA,0.035904255,se,mean_error
whitlow_1978_thesis_fig5.png,Amount of defecation,HNoN_3_de,1.140957447,0.178409679,20,NA,0.039893617,se,mean_error
whitlow_1978_thesis_fig5.png,Amount of defecation,HLN_3_de,2.86037234,0.124886775,20,NA,0.027925532,se,mean_error
whitlow_1978_thesis_fig5.png,Amount of defecation,C_1_de,2.384946908,0.110168807,20,NA,0.024634494,se,mean_error
whitlow_1978_thesis_fig5.png,Amount of defecation,C_2_de,1.526845358,0.110168807,20,NA,0.024634494,se,mean_error
whitlow_1978_thesis_fig5.png,Amount of defecation,C_3_de,2.774993066,0.110168807,20,NA,0.024634494,se,mean_error
