study_id,es_id,csv_row,data_source,data_file,control_group,experimental_group,c_status,c_meta_group,c_meta_file,c_mean_meta,c_sd_meta,c_n_meta,c_se_meta,ex_status,ex_meta_group,ex_meta_file,ex_mean_meta,ex_sd_meta,ex_n_meta,ex_se_meta,overall_status,meta_files,notes
pavlov_2023_molsci,es055,56,Figure 4D,pavlov_2023_molsci_Fig4D,NonSt_csq,US_csq,match,NonSt_csq,pavlov_2023_molsci_Fig4D.png,71.6567852437418,17.5003458616861,10.0,5.53409527636302,match,US_csq,pavlov_2023_molsci_Fig4D.png,25.9881422924901,11.1451085147916,14.0,2.97865554291195,match,pavlov_2023_molsci_Fig4D.png,
pavlov_2023_molsci,es056,57,Figure 4E,pavlov_2023_molsci_Fig4E,NonSt_oat,US_oat,match,NonSt_oat,pavlov_2023_molsci_Fig4E.png,69.1699604743083,20.8393841760105,10.0,6.58999190314643,match,US_oat,pavlov_2023_molsci_Fig4E.png,25.4199604743083,9.55500380838871,14.0,2.55368218430791,match,pavlov_2023_molsci_Fig4E.png,
pavlov_2023_molsci,es057,58,Figure 4F,pavlov_2023_molsci_Fig4F,NonSt_oae,US_oae,match,NonSt_oae,pavlov_2023_molsci_Fig4F.png,13.2716575716235,5.43772611489116,10.0,1.71955998152345,match,US_oae,pavlov_2023_molsci_Fig4F.png,8.6843451568895,4.22505255292764,14.0,1.1291927924407,match,pavlov_2023_molsci_Fig4F.png,
nishio_2006_intjdevlneur,es058,59,Fig. 2a,nishio_2006_intjdevlneur_fig2a,pre_n_m_oat,pre_so_m_oat,match,pre_n_m_oat,nishio_2006_intjdevlneur_fig2a.png,27.1584699453552,13.8074142872938,5.0,6.17486338797814,match,pre_so_m_oat,nishio_2006_intjdevlneur_fig2a.png,24.1530054644809,7.94231795286808,5.0,3.551912568306,match,nishio_2006_intjdevlneur_fig2a.png,
nishio_2006_intjdevlneur,es059,60,Fig. 2a,nishio_2006_intjdevlneur_fig2a,pre_n_f_oat,pre_so_f_oat,match,pre_N_f_oat,nishio_2006_intjdevlneur_fig2a.png,18.6885245901639,6.84261239016331,5.0,3.06010928961749,match,pre_so_f_oat,nishio_2006_intjdevlneur_fig2a.png,29.2349726775956,13.8074142872938,5.0,6.17486338797814,match,nishio_2006_intjdevlneur_fig2a.png,
nishio_2006_intjdevlneur,es060,61,Fig. 2b,nishio_2006_intjdevlneur_fig2b,pre_n_m_oae,pre_so_m_oae,match,pre_n_m_oae,nishio_2006_intjdevlneur_fig2b.png,39.6132596685083,9.63609404668419,5.0,4.30939226519337,match,pre_so_m_oae,nishio_2006_intjdevlneur_fig2b.png,46.6574585635359,7.78299903770646,5.0,3.48066298342542,match,nishio_2006_intjdevlneur_fig2b.png,
nishio_2006_intjdevlneur,es061,62,Fig. 2b,nishio_2006_intjdevlneur_fig2b,pre_n_f_oae,pre_so_f_oae,match,pre_n_f_oae,nishio_2006_intjdevlneur_fig2b.png,33.0662983425414,7.59768953680868,5.0,3.39779005524862,match,pre_so_f_oae,nishio_2006_intjdevlneur_fig2b.png,42.0994475138121,14.8247600718218,5.0,6.62983425414364,match,nishio_2006_intjdevlneur_fig2b.png,
nishio_2006_intjdevlneur,es062,63,Fig. 2c,nishio_2006_intjdevlneur_fig2c,pre_n_m_cae,pre_so_m_cae,match,pre_n_m_cae,nishio_2006_intjdevlneur_fig2c.png,3.97368421052632,1.70647293019721,5.0,0.763157894736842,match,pre_so_m_cae,nishio_2006_intjdevlneur_fig2c.png,3.57894736842105,1.17687788289463,5.0,0.526315789473685,match,nishio_2006_intjdevlneur_fig2c.png,
nishio_2006_intjdevlneur,es063,64,Fig. 2c,nishio_2006_intjdevlneur_fig2c,pre_n_f_cae,pre_so_f_cae,match,pre_n_f_cae,nishio_2006_intjdevlneur_fig2c.png,6.68421052631579,2.41259965993398,5.0,1.07894736842105,match,pre_so_f_cae,nishio_2006_intjdevlneur_fig2c.png,4.55263157894737,1.14745593582226,5.0,0.513157894736842,match,nishio_2006_intjdevlneur_fig2c.png,
abramova_2021_front,es074,75,Figure 2a,OF-pups-abramova2015,C_f_sq,PS_f_sq,mismatch,C_f_sq,abramova_2021_front_f2a.png,37.4105865522175,19.9906819395817,25.0,3.99813638791634,mismatch,PS_f_sq,abramova_2021_front_f2a.png,24.8390557939914,10.7515542941958,19.0,2.46657571865213,review,abramova_2021_front_f2a.png,"c differs in mean, sd, se; ex differs in sd, se"
abramova_2021_front,es075,76,Figure 2a,OF-pups-abramova2016,C_m_sq,PS_m_sq,mismatch,C_m_sq,abramova_2021_front_f2a.png,32.6716738197425,16.9878890965899,23.0,3.54221974104201,mismatch,PS_m_sq,abramova_2021_front_f2a.png,21.4234620886981,11.8451455114682,18.0,2.79192757176685,review,abramova_2021_front_f2a.png,"c differs in mean, sd; ex differs in mean, sd, se"
abramova_2021_front,es076,77,Figure 2b,OF-pups-abramova2017,C_f_re,PS_f_re,mismatch,C_f_re,abramova_2021_front_f2b.png,9.87554904831626,6.4030508884518,29.0,1.18901670009593,mismatch,PS_f_re,abramova_2021_front_f2b.png,7.2181551976574,4.8111005178119,29.0,0.893398937658871,review,abramova_2021_front_f2b.png,"c differs in mean, sd, n, se; ex differs in mean, sd, n, se"
